,graph,shift_list_actual,GEPA shift_list_estimated, EPA shift_list_estimated,EPA_LW shift_list_estimated,RI shift_list_estimated,DA shift_list_estimated,MDL shift_list_estimated,PBSI shift_list_estimated
49,Labeled_UG_IG_GraphInfo 142 1326901119835103232 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
50,Labeled_UG_IG_GraphInfo 143 1326787760024326152 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
51,Labeled_UG_IG_GraphInfo 144 1326957010332639238 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
52,Labeled_UG_IG_GraphInfo 145 1326948472742965251 .txt.RData.RData.RData,0,1,0,0,0,0,2,1
53,Labeled_UG_IG_GraphInfo 146 1326934174742306816 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
54,Labeled_UG_IG_GraphInfo 147 1324808185346220035 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
55,Labeled_UG_IG_GraphInfo 148 1324807525942919169 .txt.RData.RData.RData,0,1,0,0,0,0,1,0
56,Labeled_UG_IG_GraphInfo 149 1324634794983043072 .txt.RData.RData.RData,0,0,0,0,0,2,2,0
57,Labeled_UG_IG_GraphInfo 15 1334979024720945153 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
58,Labeled_UG_IG_GraphInfo 150 1324591089823715328 .txt.RData.RData.RData,2,1,0,0,0,1,3,2
59,Labeled_UG_IG_GraphInfo 151 1326198267143618561 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
60,Labeled_UG_IG_GraphInfo 152 1326136701513732097 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
61,Labeled_UG_IG_GraphInfo 153 1326135574844018688 .txt.RData.RData.RData,1,1,0,0,0,1,2,1
62,Labeled_UG_IG_GraphInfo 154 1326117461427695616 .txt.RData.RData.RData,0,0,0,0,0,2,2,0
63,Labeled_UG_IG_GraphInfo 155 1326108712843554818 .txt.RData.RData.RData,1,1,1,0,0,1,2,2
64,Labeled_UG_IG_GraphInfo 156 1326058528256090115 .txt.RData.RData.RData,0,0,0,0,0,2,2,1
65,Labeled_UG_IG_GraphInfo 158 1340230381585510401 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
66,Labeled_UG_IG_GraphInfo 159 1340211728131391489 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
67,Labeled_UG_IG_GraphInfo 16 1333896793482997763 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
68,Labeled_UG_IG_GraphInfo 160 1340197722540761089 .txt.RData.RData.RData,0,0,0,0,0,0,3,2
69,Labeled_UG_IG_GraphInfo 161 1340192419988553729 .txt.RData.RData.RData,1,1,0,0,0,1,2,1
70,Labeled_UG_IG_GraphInfo 163 1340191659913433088 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
71,Labeled_UG_IG_GraphInfo 164 1339994006592303105 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
72,Labeled_UG_IG_GraphInfo 165 1340123973846110210 .txt.RData.RData.RData,0,0,0,0,0,0,3,0
73,Labeled_UG_IG_GraphInfo 166 1339976866468225024 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
74,Labeled_UG_IG_GraphInfo 167 1339961011303026690 .txt.RData.RData.RData,2,1,0,0,0,2,10,9
75,Labeled_UG_IG_GraphInfo 168 1339944783217876992 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
76,Labeled_UG_IG_GraphInfo 169 1339941865450254336 .txt.RData.RData.RData,1,1,0,0,0,1,2,1
77,Labeled_UG_IG_GraphInfo 17 1334813597260804096 .txt.RData.RData.RData,1,1,0,0,0,1,5,4
78,Labeled_UG_IG_GraphInfo 170 1339977516417597440 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
79,Labeled_UG_IG_GraphInfo 171 1339937478610984960 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
80,Labeled_UG_IG_GraphInfo 172 1339963613667192833 .txt.RData.RData.RData,0,1,0,0,0,0,4,3
81,Labeled_UG_IG_GraphInfo 173 1339938509096951808 .txt.RData.RData.RData,0,0,0,0,0,0,3,2
82,Labeled_UG_IG_GraphInfo 174 1339938138303696897 .txt.RData.RData.RData,5,5,0,0,0,4,9,8
83,Labeled_UG_IG_GraphInfo 175 1339937964328181767 .txt.RData.RData.RData,0,0,0,0,0,0,4,3
84,Labeled_UG_IG_GraphInfo 176 1339940565329260545 .txt.RData.RData.RData,0,0,0,0,0,0,3,2
85,Labeled_UG_IG_GraphInfo 177 1339940522538971138 .txt.RData.RData.RData,0,0,0,0,0,0,4,4
86,Labeled_UG_IG_GraphInfo 178 1339938379266478082 .txt.RData.RData.RData,0,0,0,0,0,8,8,7
87,Labeled_UG_IG_GraphInfo 179 1340386809956753413 .txt.RData.RData.RData,1,1,0,0,0,0,2,1
88,Labeled_UG_IG_GraphInfo 18 1333948999863316480 .txt.RData.RData.RData,1,1,0,0,0,1,5,4
89,Labeled_UG_IG_GraphInfo 180 1340399478335918080 .txt.RData.RData.RData,2,2,0,0,0,2,7,6
90,Labeled_UG_IG_GraphInfo 181 1340386828126437385 .txt.RData.RData.RData,2,2,0,0,0,2,6,5
91,Labeled_UG_IG_GraphInfo 182 1340396594827382785 .txt.RData.RData.RData,0,0,0,0,0,0,3,2
92,Labeled_UG_IG_GraphInfo 183 1340433156835430400 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
93,Labeled_UG_IG_GraphInfo 184 1340426169108185088 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
94,Labeled_UG_IG_GraphInfo 185 1340435443561672705 .txt.RData.RData.RData,1,0,0,0,0,0,2,0
95,Labeled_UG_IG_GraphInfo 186 1340391773567217664 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
96,Labeled_UG_IG_GraphInfo 187 1340527524481294345 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
97,Labeled_UG_IG_GraphInfo 188 1340394667217547264 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
98,Labeled_UG_IG_GraphInfo 189 1340390042020311043 .txt.RData.RData.RData,0,0,0,0,0,0,4,3
99,Labeled_UG_IG_GraphInfo 19 1336762932181479433 .txt.RData.RData.RData,1,1,0,0,0,2,3,1
100,Labeled_UG_IG_GraphInfo 190 1340420662666641409 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
101,Labeled_UG_IG_GraphInfo 191 1340371473953939460 .txt.RData.RData.RData,1,0,0,0,0,0,2,0
102,Labeled_UG_IG_GraphInfo 192 1340369300452864000 .txt.RData.RData.RData,1,1,0,0,0,1,9,8
103,Labeled_UG_IG_GraphInfo 193 1340369357717856256 .txt.RData.RData.RData,0,0,0,0,0,1,4,3
104,Labeled_UG_IG_GraphInfo 194 1340371409399328769 .txt.RData.RData.RData,1,1,0,0,0,0,3,2
105,Labeled_UG_IG_GraphInfo 195 1340369343234904064 .txt.RData.RData.RData,0,0,0,0,0,0,3,2
106,Labeled_UG_IG_GraphInfo 196 1340369417612439552 .txt.RData.RData.RData,0,0,0,0,0,0,5,4
107,Labeled_UG_IG_GraphInfo 197 1340370254220947464 .txt.RData.RData.RData,1,1,0,0,0,1,5,3
108,Labeled_UG_IG_GraphInfo 198 1340339354955296769 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
109,Labeled_UG_IG_GraphInfo 199 1340345641231409153 .txt.RData.RData.RData,0,0,0,0,0,1,1,0
110,Labeled_UG_IG_GraphInfo 2 1335980010398691330 .txt.RData.RData.RData,1,1,0,0,0,1,2,1
111,Labeled_UG_IG_GraphInfo 20 1336794062519738368 .txt.RData.RData.RData,0,0,0,0,0,0,3,2
112,Labeled_UG_IG_GraphInfo 200 1340335306218868736 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
113,Labeled_UG_IG_GraphInfo 201 1340334543702614021 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
